0001,Benih,1
0002,SUSU,2
0003,ROKOK,3
0004,TEPUNG,4
0005,MINUMAN,5
0006,"TEH & KOPI",6
0007,PARFUM,7
0008,PERMEN,8
0009,SNACK,9
0010,"MAKANAN KALENG",10
0011,STATIONERY,11
0012,"SABUN & SAMPHOO",12
0013,BUMBU,13
0014,"PASTA & S-GIGI",14
0015,"MINYAK GORENG",15
0016,MAKANAN,16
0017,OBATAN,17
0018,MENTEGA,18
0019,"KECAP & SAUCE",19
0020," KACANG TANAH",20
0021,SYRUP,21
0022,"PRODUCT BAYI",22
0023,LAIN-LAIN,23
0024,BEER,24
0025,KOSMETIK,25
0026,TANDAS,26
0027,KAPAS,27
0028,"ALAT RUMAH TANGGA",28
0029,DETERGEN,29
0030,MANISAN,30
0031,COKELAT,31
0032,BISKUIT,32
0033,TISSUE,33
0034,"PECAH BELAH",34
0035,ELEKTRONIK,35
0036,PAMPERS,36
0037,"MINYAK RAMBUT",37
0038,BERAS,38
0039,MIE,39
0040,"ALAT LISTRIK",40
0041,"PEMBALUT WANITA",41
0042,"SEMIR SEPATU",42
0043,"MAKANAN BAYI",43
0044,GULAPUTIH,44
0045,PEMBERSIH,45
0046,PAKAIAN,46
0047,"JAS HUJAN",47
0048,"MAKANAN PAGI",48
0049,SLAI/JAM,49
0050,KONSINYASI,50
0051,ES,51
0052,"DIET FOOD",52
0053,"ALAT BANGUNAN",53
0054,"MAKANAN HEWAN",54
0055,"transaksi manual",55
